State,Age1,Age2,Age3,Age4,AllAges,Male,Female,Location
Alabama,8.6,20.8,12.6,15.5,13.7,17.6,10,"Alabama
(32.84057234800002, -86.63185738799996)"
Alaska,,,,,5.4,5.5,,"Alaska
(64.84507799500005, -147.72205958799998)"
Arizona,5,12,7.3,6.9,7.4,10.2,4.7,"Arizona
(34.86597351900008, -111.76380664699997)"
Arkansas,8,20.3,13.8,16.2,13.8,17.3,10.4,"Arkansas
(34.74865032200006, -92.27448966799994)"
California,2.4,6.9,4,4.5,4.2,5.6,2.7,"California
(37.63864210000003, -120.99999644699994)"
Colorado,3.3,8.8,4.8,7.3,5.8,7.4,4.1,"Colorado
(38.84384342200008, -106.13360911499996)"
Connecticut,,7.5,4,5.2,4.1,5.4,2.9,"Connecticut
(41.56266070000004, -72.64983977999998)"
Delaware,,13,,,6.9,10,4.1,"Delaware
(39.00883389200004, -75.57773597599999)"
District of Columbia,,,,,,,,"District of Columbia
(38.89037258400003, -77.03195678499998)"
Florida,3.5,10,6.7,7.2,6.4,8.4,4.4,"Florida
(28.932042722000062, -81.92895768899996)"
Georgia,3.9,12.1,8.2,12.1,8.5,11.7,5.5,"Georgia
(32.839683200000024, -83.62757885599996)"
Hawaii,,,,,4,5.7,,"Hawaii
(21.30485232600006, -157.85774798099996)"
Idaho,4.5,12,8.8,10.9,8.6,10.4,6.9,"Idaho
(43.68263174800006, -114.36372693399994)"
Illinois,2.5,8.8,3.6,5.6,4.7,6.3,3.2,"Illinois
(40.48501223300008, -88.99770922699997)"
Indiana,5,12,7.2,9.9,8.1,10.9,5.3,"Indiana
(39.766913353000064, -86.14995646699998)"
Iowa,4.4,11.7,9.6,10.3,8.7,11.3,6,"Iowa
(42.469401411000035, -93.81648725599996)"
Massachusetts,1.8,4.7,2.2,3.9,2.9,4.1,1.7,"Massachusetts
(42.27687400000008, -72.08268726299997)"
Mississippi,8.6,24.6,16.7,17.6,16,22.3,10,"Mississippi
(32.745513440000025, -89.53802722999995)"
Missouri,5.5,15.3,11.6,10.4,10.2,14.2,6.3,"Missouri
(38.63579147100006, -92.56629944499997)"
Nebraska,7.7,13.6,8.1,9.1,9.2,12.8,5.7,"Nebraska
(41.64104362100005, -99.36571888999998)"
New Mexico,6,14.3,13.7,11,11.1,15.1,6.9,"New Mexico
(34.52088149400004, -106.24057817299996)"
New York,1.7,4.1,2.9,4.4,3.1,4.2,2,"New York
(42.82700376100007, -75.54396609999998)"
Utah,2.5,6.7,6.8,6.4,5.5,5.9,5,"Utah
(39.36070123200005, -111.58712831499997)"
West Virginia,5.9,22.6,13.7,13.7,13.1,19.1,7.2,"West Virginia
(38.66551127300005, -80.71263755899997)"
Wisconsin,4.8,10.9,7.4,8,7.4,9.6,5.1,"Wisconsin
(44.39319064600005, -89.81636640199997)"
Kansas,7.5,13.9,10.7,13.1,11,15.1,6.7,"Kansas
(38.347742794000055, -98.20077822999997)"
Louisiana,6.9,15.6,10.3,10.5,10.4,13.9,7.1,"Louisiana
(31.312663324000027, -92.44567750499994)"
Kentucky,6.7,19.7,13.4,13.7,12.9,15.7,10.1,"Kentucky
(37.64597313300004, -84.77496771599994)"
Maine,6.6,18,7.3,9.1,9.4,13.2,5.8,"Maine
(45.25422910300006, -68.98502586699993)"
Montana,10.6,29.6,17,12.5,16.4,21.9,10.9,"Montana
(47.06652795700006, -109.42441587999997)"
New Hampshire,,,,6.8,5,7.3,2.8,"New Hampshire
(43.65595283500005, -71.50035697299995)"
North Carolina,5.1,12.5,8.7,9.9,8.6,11.5,5.9,"North Carolina
(35.466220159000045, -79.15924997399998)"
Oklahoma,6,22.7,15.7,15.9,14.3,19.2,9.6,"Oklahoma
(35.472030747000076, -97.52106835299998)"
Oregon,2.6,7.9,4.3,7.3,5.1,5.9,4.2,"Oregon
(44.56745049300008, -120.15502935599994)"
Maryland,3.3,9.3,4.2,6.1,5.3,7.1,3.7,"Maryland
(39.290582950000044, -76.60925984299996)"
Texas,5.2,14.5,8.9,9.5,9.1,12.2,6,"Texas
(31.827240467000024, -99.42676785299994)"
Virginia,3.9,8.9,6.7,9.3,6.8,9.3,4.3,"Virginia
(37.542680705000066, -78.45788932099998)"
Michigan,3.8,10.9,4.9,7.5,6.2,8.3,4.2,"Michigan
(44.66132238800003, -84.71438555599997)"
